,gene_group,associated_uniprot_IDs,associated_reactions,associated_pdb,associated_cath_classes,associated_cath_domains,substrates,products
349,b0822,P75792,E4PP;F1PP;F6PP;G3PT;G6PP;MN6PP;R5PP,1rlm,3.30.1240.10.6.1.1.2.1.107;3.30.1240.10.6.1.1.2.2.107;3.30.1240.10.6.1.1.2.3.107;3.30.1240.10.6.1.1.2.4.107;3.40.50.1000.47.1.1.1.1.162;3.40.50.1000.47.1.1.1.2.162;3.40.50.1000.47.1.1.1.3.162;3.40.50.1000.47.1.1.1.4.162,1rlmA02;1rlmB02;1rlmC02;1rlmD02;1rlmA01;1rlmB01;1rlmC01;1rlmD01,glyc3p_c;f6p_c;h2o_c;f1p_c;e4p_c;g6p_c;r5p_c;man6p_c,fru_c;erthrs_c;pi_c;glyc_c;glc__D_c;rib__D_c;man_c
350,b1288,P0AEK4,EAR100x;EAR100y;EAR120x;EAR120y;EAR121x;EAR121y;EAR140x;EAR140y;EAR141x;EAR141y;EAR160x;EAR160y;EAR161x;EAR161y;EAR180x;EAR180y;EAR181x;EAR181y;EAR40x;EAR40y;EAR60x;EAR60y;EAR80x;EAR80y;EGMEACPR;EPMEACPR,1qsg,3.40.50.720.154.1.2.3.1.258;3.40.50.720.154.1.2.3.2.258;3.40.50.720.154.1.2.3.3.258;3.40.50.720.154.1.2.3.4.258;3.40.50.720.154.1.2.3.5.258;3.40.50.720.154.1.2.3.6.258;3.40.50.720.154.1.2.3.7.258;3.40.50.720.154.1.2.3.8.259,1qsgA00;1qsgB00;1qsgC00;1qsgD00;1qsgE00;1qsgF00;1qsgH00;1qsgG00,nadph_c;tddec2eACP_c;tdec2eACP_c;toct2eACP_c;epmeACP_c;t3c9palmeACP_c;tmrs2eACP_c;t3c7mrseACP_c;t3c11vaceACP_c;nadh_c;t3c5ddeceACP_c;h_c;egmeACP_c;toctd2eACP_c;tpalm2eACP_c;thex2eACP_c;but2eACP_c,hdeACP_c;butACP_c;nadp_c;nad_c;tdeACP_c;ocACP_c;octeACP_c;hexACP_c;ddcaACP_c;palmACP_c;pmeACP_c;ocdcaACP_c;gmeACP_c;cddec5eACP_c;dcaACP_c;myrsACP_c
351,b3622,P27243,ECA4OALpp;O16A4Lpp,,,,colipa_p;o16a4und_p;eca4und_p,udcpdp_p;o16a4colipa_p;h_p;eca4colipa_p
352,b3785;b3793,P0AG00;P27835,ECAP1pp;ECAP2pp;ECAP3pp,,,,eca3und_p;unagamuf_p;eca2und_p,h_p;eca2und_p;eca4und_p;udcpdp_p;eca3und_p
353,b3792,P0AAA7,ECAtpp,,,,unagamuf_c,unagamuf_p
354,b2341,P77399,ECOAH1;ECOAH2;ECOAH3;ECOAH4;ECOAH5;ECOAH6;ECOAH7;ECOAH8;HACD1;HACD2;HACD3;HACD4;HACD5;HACD6;HACD7;HACD8,,,,3hbcoa_c;3hddcoa_c;3oddcoa_c;3hhcoa_c;aacoa_c;3hocoa_c;3ohodcoa_c;nad_c;3ohdcoa_c;hx2coa_c;dd2coa_c;3htdcoa_c;3hodcoa_c;3hdcoa_c;dc2coa_c;3odcoa_c;3hhdcoa_c;3otdcoa_c;h_c;3ohcoa_c;od2coa_c;hdd2coa_c;nadh_c;3oocoa_c;h2o_c;oc2coa_c;td2coa_c;b2coa_c,3hbcoa_c;3hddcoa_c;3oddcoa_c;3hhcoa_c;aacoa_c;3hocoa_c;3ohodcoa_c;nad_c;3ohdcoa_c;hx2coa_c;dd2coa_c;3htdcoa_c;3hodcoa_c;3hdcoa_c;dc2coa_c;3odcoa_c;3hhdcoa_c;3otdcoa_c;h_c;3ohcoa_c;od2coa_c;hdd2coa_c;nadh_c;3oocoa_c;h2o_c;oc2coa_c;td2coa_c;b2coa_c
355,b1850,P0A955,EDA;OAADC,1wbh,3.20.20.70.128.1.1.1.1.214;3.20.20.70.128.1.1.1.3.213;3.20.20.70.128.1.1.1.4.213,1wbhB00;1wbhA00;1wbhC00,oaa_c;h_c;2ddg6p_c,co2_c;g3p_c;pyr_c
356,b1851,P0ADF6,EDD,,,,6pgc_c,h2o_c;2ddg6p_c
357,b1054,P0ACV0,EDTXS1,,,,kdo2lipid4_c;ddcaACP_c,kdo2lipid4L_c;ACP_c
358,b1855,P24205,EDTXS2;EDTXS4,,,,myrsACP_c;kdo2lipid4L_c;kdo2lipid4p_c,lipa_cold_c;lipa_c;ACP_c
359,b2378,P0ACV2,EDTXS3,,,,hdeACP_c;kdo2lipid4_c,kdo2lipid4p_c;ACP_c
360,b2779,P0A6P9,ENO,3h8a,3.20.20.120.45.2.1.1.5.304;3.20.20.120.45.2.1.1.6.304;3.20.20.120.45.2.1.1.7.304;3.20.20.120.45.2.1.1.8.305;3.30.390.10.6.4.1.1.5.125;3.30.390.10.6.4.1.1.6.125;3.30.390.10.6.4.1.1.7.125;3.30.390.10.6.4.1.1.8.125,3h8aA02;3h8aB02;3h8aC02;3h8aD02;3h8aA01;3h8aB01;3h8aC01;3h8aD01,pep_c;h2o_c;2pg_c,pep_c;h2o_c;2pg_c
361,b0583,P19925,ENTCS,,,,seramp_c;23dhba_c,enter_c;amp_c;h_c
362,b2440;b2441,P19636;P0AEJ6,ETHAAL,,,,etha_c,nh4_c;acald_c
363,b3697,P0A8Y5,F1PP;F6PP;FBP;G1PP;MN6PP;R5PP,1rkq,3.30.1240.10.2.1.1.1.1.107;3.30.1240.10.2.1.1.1.2.107;3.40.50.1000.9.1.1.1.1.164;3.40.50.1000.9.1.1.1.2.164,1rkqA02;1rkqB02;1rkqA01;1rkqB01,g1p_c;fdp_c;f6p_c;h2o_c;f1p_c;r5p_c;man6p_c,fru_c;pi_c;f6p_c;glc__D_c;rib__D_c;man_c
364,b0825,P78055,F6PA,1l6w,3.20.20.70.143.1.1.2.1.220;3.20.20.70.143.1.1.2.2.220;3.20.20.70.143.1.1.2.3.220;3.20.20.70.143.1.1.2.4.220;3.20.20.70.143.1.1.2.5.220;3.20.20.70.143.1.1.2.6.220;3.20.20.70.143.1.1.2.7.220;3.20.20.70.143.1.1.2.8.220;3.20.20.70.143.1.1.2.9.220;3.20.20.70.143.1.1.2.10.220,1l6wA00;1l6wB00;1l6wC00;1l6wD00;1l6wE00;1l6wF00;1l6wG00;1l6wH00;1l6wI00;1l6wJ00,g3p_c;f6p_c;dha_c,g3p_c;f6p_c;dha_c
365,b3946,P32669,F6PA,,,,g3p_c;f6p_c;dha_c,g3p_c;f6p_c;dha_c
366,b0404,P21515,FA100ACPHi;FA120ACPHi;FA140ACPHi;FA141ACPHi;FA160ACPHi;FA161ACPHi;FA80ACPHi,,,,hdeACP_c;tdeACP_c;ocACP_c;ddcaACP_c;palmACP_c;h2o_c;dcaACP_c;myrsACP_c,ttdcea_c;dca_c;hdca_c;ACP_c;hdcea_c;h_c;octa_c;ttdca_c;ddca_c
367,b0452,P0AGG2,FACOAE100;FACOAE120;FACOAE140;FACOAE141;FACOAE160;FACOAE161;FACOAE180;FACOAE181;FACOAE60;FACOAE80,1c8u,3.10.129.10.50.1.1.1.1.156;3.10.129.10.50.1.1.1.2.156;3.10.129.10.81.1.1.1.1.115;3.10.129.10.81.1.1.1.2.115,1c8uA01;1c8uB01;1c8uA02;1c8uB02,occoa_c;hdcoa_c;h2o_c;tdecoa_c;dcacoa_c;pmtcoa_c;stcoa_c;odecoa_c;hxcoa_c;tdcoa_c;ddcacoa_c,ttdcea_c;dca_c;ocdca_c;hdca_c;ocdcea_c;coa_c;hdcea_c;h_c;octa_c;hxa_c;ttdca_c;ddca_c
368,b3844,P0AEN1,FADRx;FE3Ri;FLVR;FLVRx;FMNRx;FMNRx2,1qfj,2.40.30.10.39.1.1.1.1.91;2.40.30.10.39.1.1.1.2.91;2.40.30.10.39.1.1.1.3.91;2.40.30.10.39.1.1.1.4.91;3.40.50.80.18.1.1.1.1.135;3.40.50.80.18.1.1.1.2.134;3.40.50.80.18.1.1.1.3.134;3.40.50.80.18.1.1.1.4.134,1qfjA01;1qfjB01;1qfjC01;1qfjD01;1qfjA02;1qfjB02;1qfjC02;1qfjD02,nadph_c;ribflv_c;nadh_c;fadh2_c;fad_c;fe3_c;h_c;fmn_c,nad_c;nadp_c;fmnh2_c;fadh2_c;fad_c;h_c;fe2_c;rbflvrd_c
369,b2763;b2764,P17846;P38038,FADRx2;FLVR;FMNRx2;SULR,,,,nadph_c;so3_c;ribflv_c;fad_c;h_c;fmn_c,nadp_c;h2s_c;fmnh2_c;fadh2_c;h2o_c;rbflvrd_c
370,b0356,P25437,FALDH2,,,,nad_c;Sfglutth_c;nadh_c;h_c;hmgth_c,nad_c;Sfglutth_c;nadh_c;h_c;hmgth_c
371,b2925,P0AB71,FBA;FBA3,1dos,3.20.20.70.60.2.2.1.1.358;3.20.20.70.60.2.2.1.2.358,1dosA00;1dosB00,s17bp_c;dhap_c;fdp_c;e4p_c;g3p_c,s17bp_c;dhap_c;fdp_c;e4p_c;g3p_c
372,b2097,P0A991,FBA,,,,fdp_c;dhap_c;g3p_c,fdp_c;dhap_c;g3p_c
373,b4232,P0A993,FBP,2gq1,3.30.540.10.2.1.1.1.1.168;3.40.190.80.4.2.1.1.1.136,2gq1A01;2gq1A02,fdp_c;h2o_c,pi_c;f6p_c
374,b3925,P0A9C9,FBP,3big,3.30.540.10.8.1.1.1.1.156;3.40.190.90.1.1.1.1.1.165,3bigA01;3bigA02,fdp_c;h2o_c,pi_c;f6p_c
375,b2930,P21437,FBP,,,,fdp_c;h2o_c,pi_c;f6p_c
376,b2803,P11553,FCLK,,,,atp_c;fcl__L_c,h_c;adp_c;fc1p_c
377,b2738,Q46890,FCLPA,,,,lald__L_c;dhap_c;fc1p_c,lald__L_c;dhap_c;fc1p_c
378,b2800,P0AB87,FCLPA,1e4c,3.40.225.10.3.2.1.1.1.206,1e4cP00,lald__L_c;dhap_c;fc1p_c,lald__L_c;dhap_c;fc1p_c
379,b0475,P23871,FCLT,,,,fe2_c;ppp9_c,h_c;pheme_c
380,b2431,P76536,FCLT,,,,fe2_c;ppp9_c,h_c;pheme_c
381,b1019,P31545,FCLT,2y4d,,,fe2_c;ppp9_c,h_c;pheme_c
382,b3892;b3893;b3894,P0AEL0;P0AAJ5;P32176,FDH4pp;FDH5pp,,,,q8_c;h_c;for_p;mqn8_c,h_p;co2_p;q8h2_c;mql8_c
383,b1474;b1475;b1476,P24183;P0AAJ3;P0AEK7,FDH4pp;FDH5pp,1kqf,1.20.5.480.1.1.1.1.1.44;1.20.950.20.1.1.1.1.1.216;2.40.40.20.21.1.1.1.1.176;3.30.70.20.5.1.1.1.1.90;3.30.70.20.16.1.1.1.1.137;3.40.50.740.5.1.1.1.1.239;3.40.228.10.2.1.1.1.1.266,1kqfB03;1kqfC00;1kqfA04;1kqfB01;1kqfB02;1kqfA02;1kqfA03,q8_c;h_c;for_p;mqn8_c,h_p;co2_p;q8h2_c;mql8_c
384,b4209,P69506,FESR,5fnp,,,fe2_c;3fe4s_c,4fe4s_c
385,b2895;b3924,P0ABY4;P28861,FLDR2,2mt9;1fdr,3.40.50.360.6.5.1.1.1.173;2.40.30.10.24.1.1.2.1.92;3.40.50.80.6.1.1.1.1.152,2mt9A00;1fdrA01;1fdrA02,flxso_c;nadph_c,flxr_c;h_c;nadp_c
386,b0684;b3924,P61949;P28861,FLDR2,1fdr;2mok,2.40.30.10.24.1.1.2.1.92;3.40.50.80.6.1.1.1.1.152;3.40.50.360.6.2.1.1.4.176,1fdrA01;1fdrA02;2mokA00,flxso_c;nadph_c,flxr_c;h_c;nadp_c
387,b0025,P0AG40,FMNAT;RBFK,,,,fmn_c;atp_c;ribflv_c;h_c,ppi_c;fad_c;h_c;fmn_c;adp_c
388,b0937,P80644,FMNRx;FMNRx2,4ptz,3.40.50.360.23.2.1.1.1.174;3.40.50.360.23.2.1.1.2.174;3.40.50.360.23.2.1.1.3.173;3.40.50.360.23.2.1.1.4.173,4ptzC00;4ptzD00;4ptzA00;4ptzB00,fmn_c;nadph_c;h_c;nadh_c,fmnh2_c;nadp_c;nad_c
389,b2912,P0AC28,FOMETRi,,,,h_c;5fthf_c,methf_c;h2o_c
390,b2374,P69902,FORCT,1pt7,3.30.1540.10.2.1.1.1.2.97;3.30.1540.10.2.1.1.1.3.97;3.40.50.10540.1.1.1.2.1.318;3.40.50.10540.1.1.1.2.2.318,1pt7A02;1pt7B02;1pt7A01;1pt7B01,oxalcoa_c;oxa_c;for_c;forcoa_c,oxalcoa_c;oxa_c;for_c;forcoa_c
391,b4151;b4152;b4153;b4154,P0A8Q3;P0A8Q0;P0AC47;P00363,FRD2;FRD3,1kf6,1.10.1060.10.4.1.1.1.1.138;1.10.1060.10.4.1.1.1.2.138;1.20.58.100.8.1.1.1.1.120;1.20.58.100.8.1.1.1.2.120;1.20.1300.10.5.1.1.1.1.130;1.20.1300.10.5.1.1.1.2.130;1.20.1300.10.7.1.1.1.1.119;1.20.1300.10.7.1.1.1.2.119;3.10.20.30.20.2.1.1.1.104;3.10.20.30.20.2.1.1.2.104;3.50.50.60.113.4.1.1.1.306;3.50.50.60.113.4.1.1.2.306;3.90.700.10.3.3.1.1.1.116;3.90.700.10.3.3.1.1.2.116;4.10.80.40.4.1.1.1.1.35;4.10.80.40.4.1.1.1.2.35,1kf6B02;1kf6N02;1kf6A03;1kf6M03;1kf6C00;1kf6O00;1kf6D00;1kf6P00;1kf6B01;1kf6N01;1kf6A01;1kf6M01;1kf6A02;1kf6M02;1kf6A04;1kf6M04,2dmmql8_c;fum_c;mql8_c,2dmmq8_c;succ_c;mqn8_c
392,b2168,P0AEW9,FRUK,,,,atp_c;f1p_c,fdp_c;h_c;adp_c
393,b3371,P0AC00,FRULYSDG,,,,h2o_c;frulysp_c;g6p_c;lys__L_c,h2o_c;frulysp_c;g6p_c;lys__L_c
394,b4474,P45541,FRULYSE,,,,frulys_c;psclys_c,frulys_c;psclys_c
395,b3374,P45543,FRULYSK,,,,frulys_c;atp_c,frulysp_c;adp_c;h_c
396,b1232,P37051,FTHFD,,,,10fthf_c;h2o_c,thf_c;for_c;h_c
397,b1612,P0AC33,FUM,,,,fum_c;h2o_c;mal__L_c,fum_c;h2o_c;mal__L_c
398,b1611,P05042,FUM,1fur,1.10.40.30.2.2.1.1.1.52;1.10.40.30.7.1.3.1.1.51;1.10.275.10.2.3.1.1.1.134;1.10.275.10.2.3.1.1.2.134;1.20.200.10.2.3.1.1.1.269;1.20.200.10.2.3.1.1.2.265,1furA03;1furB03;1furA01;1furB01;1furA02;1furB02,fum_c;h2o_c;mal__L_c,fum_c;h2o_c;mal__L_c
399,b3730,P0ACC7,G1PACT;UAGDP,1hv9,2.160.10.10.12.3.1.1.1.189;2.160.10.10.12.3.1.1.2.225;3.90.550.10.8.3.2.1.1.248;3.90.550.10.8.3.2.2.1.224,1hv9B02;1hv9A02;1hv9B01;1hv9A01,acgam1p_c;h_c;gam1p_c;utp_c;accoa_c,coa_c;ppi_c;acgam1p_c;h_c;uacgam_c
400,b3885,P0A8Y3,G1PP,2b0c,1.10.150.240.32.1.1.1.1.66;3.40.50.1000.105.1.1.1.1.133,2b0cA02;2b0cA01,h2o_c;g1p_c,glc__D_c;pi_c
401,b1002,P19926,G1PPpp;GAL1PPpp,1nt4,3.40.50.1240.7.1.2.1.1.244;3.40.50.1240.7.1.2.1.2.244;3.40.50.1240.25.1.2.1.1.147;3.40.50.1240.25.1.2.1.2.147,1nt4A01;1nt4B01;1nt4A02;1nt4B02,gal1p_p;h2o_p;g1p_p,gal_p;glc__D_p;pi_p
402,b2039,P37744,G1PTT,1h5r,3.90.550.10.5.1.2.1.1.290;3.90.550.10.5.1.2.1.2.290;3.90.550.10.5.1.2.1.3.290;3.90.550.10.5.1.2.2.1.290,1h5rA00;1h5rC00;1h5rD00;1h5rB00,h_c;g1p_c;dttp_c,dtdpglu_c;ppi_c
403,b3789,P61887,G1PTT,1mc3,3.90.550.10.5.2.3.1.1.286;3.90.550.10.5.2.3.2.1.286,1mc3A00;1mc3B00,h_c;g1p_c;dttp_c,dtdpglu_c;ppi_c
404,b0154,P23893,G1SAT,,,,glu1sa_c;5aop_c,glu1sa_c;5aop_c
405,b2533,P0ADG4,G2PP;MI1PP,2qfl,3.30.540.10.11.2.1.1.1.140;3.40.190.80.8.1.1.1.1.122,2qflA01;2qflA02,glyc2p_c;h2o_c;mi1p__D_c,pi_c;inost_c;glyc_c
406,b4055,P0AE22,G2PPpp;NTD10pp;NTD11pp;NTD12pp;NTD1pp;NTD2pp;NTD3pp;NTD4pp;NTD5pp;NTD6pp;NTD7pp;NTD8pp;NTD9pp;PSP_Lpp;PTHRpp;R5PPpp;TYRPpp,,,,glyc2p_p;ump_p;pser__L_p;thrp_p;r5p_p;dgmp_p;dcmp_p;dimp_p;dump_p;amp_p;gmp_p;tyrp_p;xmp_p;cmp_p;dtmp_p;imp_p;h2o_p;damp_p,xtsn_p;dgsn_p;tyr__L_p;glyc_p;uri_p;thr__L_p;gsn_p;pi_p;dad_2_p;duri_p;adn_p;thymd_p;ser__L_p;din_p;rib__D_p;cytd_p;ins_p;dcyt_p
407,b1094;b4041,P0A6A8;P0A7A7,G3PAT120;G3PAT140;G3PAT141;G3PAT160;G3PAT161;G3PAT180;G3PAT181,,,,hdeACP_c;glyc3p_c;tdeACP_c;octeACP_c;ddcaACP_c;palmACP_c;ocdcaACP_c;myrsACP_c,1odecg3p_c;1hdecg3p_c;1ddecg3p_c;1tdecg3p_c;ACP_c;1hdec9eg3p_c;1tdec7eg3p_c;1odec11eg3p_c
408,b3608,P0A6S7,G3PD2,,,,glyc3p_c;nadph_c;dhap_c;nadp_c;h_c,glyc3p_c;nadph_c;dhap_c;nadp_c;h_c
409,b2241;b2242;b2243,P0A9C0;P13033;P0A996,G3PD5;G3PD6;G3PD7,,,,glyc3p_c;q8_c;2dmmq8_c;mqn8_c,2dmmql8_c;mql8_c;dhap_c;q8h2_c
410,b3426,P13035,G3PD5,2qcu,1.10.8.870.1.1.1.1.1.71;1.10.8.870.1.1.1.1.2.71;3.30.9.10.5.1.1.1.1.161;3.30.9.10.5.1.1.1.2.161;3.50.50.60.16.1.1.1.1.229;3.50.50.60.16.1.1.1.2.227,2qcuA03;2qcuB03;2qcuA02;2qcuB02;2qcuB01;2qcuA01,glyc3p_c;q8_c,dhap_c;q8h2_c
411,b0675,P0AF24,G3PT;NTD2;NTD4;NTD7;NTD9;PYDXPP;R5PP,2c4n,3.40.50.1000.63.1.1.1.1.146;3.40.50.1000.119.1.1.1.1.104,2c4nA01;2c4nA02,pydx5p_c;glyc3p_c;cmp_c;gmp_c;h2o_c;amp_c;ump_c;r5p_c,pi_c;glyc_c;adn_c;cytd_c;rib__D_c;pydx_c;gsn_c;uri_c
412,b0243,P07004,G5SD,,,,nadph_c;glu5p_c;h_c,nadp_c;pi_c;glu5sa_c
413,b0678,P0A759,G6PDA,1fs5,3.40.50.1360.17.1.2.1.1.266;3.40.50.1360.17.1.2.1.2.266,1fs5A00;1fs5B00,gam6p_c;h2o_c,nh4_c;f6p_c
414,b1852,P0AC53,G6PDH2r,,,,nadph_c;6pgl_c;nadp_c;h_c;g6p_c,nadph_c;6pgl_c;nadp_c;h_c;g6p_c
415,b3128,P39829,GALCTD,,,,galct__D_c,h2o_c;5dh4dglc_c
416,b4358,P39400,GALCTLO,,,,galctn__L_c;nad_c,tagur_c;h_c;nadh_c
417,b4478,Q6BF17,GALCTND,,,,galctn__D_c,2dh3dgal_c;h2o_c
418,b0757,P0A6T3,GALKr,,,,gal_c;atp_c;h_c;gal1p_c;adp_c,gal_c;atp_c;h_c;gal1p_c;adp_c
419,b0756,P0A9C3,GALM2pp,,,,gal_bD_p,gal_p
420,b4119,P06720,GALS3,,,,h2o_c;melib_c,gal_c;glc__D_c
421,b3628,P27127,GALT1,,,,udpg_c;gicolipa_c,gagicolipa_c;udp_c;h_c
422,b1236,P0AEP3,GALUi,2e3d,3.90.550.10.13.1.1.1.1.278;3.90.550.10.13.1.1.1.2.281;3.90.550.10.13.1.1.1.3.286;3.90.550.10.13.1.1.1.4.288,2e3dD00;2e3dB00;2e3dA00;2e3dC00,utp_c;h_c;g1p_c,udpg_c;ppi_c
423,b2500,P08179,GARFT,1jkx,3.40.50.170.4.1.1.1.1.209;3.40.50.170.4.1.1.1.2.209;3.40.50.170.4.1.1.1.3.209;3.40.50.170.4.1.1.1.4.209,1jkxA00;1jkxB00;1jkxC00;1jkxD00,gar_c;fgam_c;10fthf_c;thf_c;h_c,gar_c;fgam_c;10fthf_c;thf_c;h_c
424,b1415,P25553,GCALDD;LCADi,2imp,3.40.309.10.20.3.1.1.1.191;3.40.605.10.12.2.1.1.1.285,2impA02;2impA01,lald__L_c;gcald_c;h2o_c;nad_c,lac__L_c;glyclt_c;h_c;nadh_c
425,b2052,P32055,GDMANE;GOFUCR,1e6u,3.40.50.720.42.1.1.1.1.220;3.90.25.10.5.1.1.1.1.94,1e6uA01;1e6uA02,nadph_c;gdpofuc_c;gdpddman_c;h_c,gdpofuc_c;gdpfuc_c;nadp_c
426,b2784,P0AG20,GDPDPK;GTPDPK,5l3p,,,atp_c;gtp_c;gdp_c,gdptp_c;amp_c;h_c;ppgpp_c
427,b3650,P0AG24,GDPDPK;GDPTPDP;PPGPPDP,,,,atp_c;gdptp_c;ppgpp_c;h2o_c;gdp_c,ppi_c;ppgpp_c;gtp_c;amp_c;h_c;gdp_c
428,b2051,P32056,GDPMNH,1rya,3.90.79.10.3.1.1.1.1.160;3.90.79.10.3.1.1.1.2.160,1ryaA00;1ryaB00,h2o_c;gdpmann_c,h_c;man_c;gdp_c
429,b2467,P37128,GDPMNP,3o6z,3.90.79.10.53.1.1.2.1.181;3.90.79.10.53.1.1.2.2.188,3o6zA00;3o6zB00,h2o_c;gdpmann_c,gmp_c;h_c;man1p_c
430,b3729,P17169,GF6PTA,4amv,3.40.50.10490.6.2.1.2.1.214;3.40.50.10490.6.2.1.2.2.214;3.40.50.10490.6.2.1.2.3.214;3.40.50.10490.30.1.1.1.3.154;3.40.50.10490.30.1.1.1.4.154;3.40.50.10490.30.1.1.1.5.154;3.60.20.10.12.1.1.1.5.240;3.60.20.10.12.1.1.1.6.240;3.60.20.10.12.1.1.1.7.240,4amvA02;4amvB02;4amvC02;4amvA03;4amvB03;4amvC03;4amvA01;4amvB01;4amvC01,f6p_c;gln__L_c,glu__L_c;gam6p_c
431,b1298,P76038,GGGABAH,,,,h2o_c;gg4abut_c,glu__L_c;4abut_c
432,b1301,P37906,GGPTRCO,,,,ggptrc_c;h2o_c;o2_c,h2o2_c;nh4_c;ggbutal_c
433,b1297,P78061,GGPTRCS,,,,glu__L_c;atp_c;ptrc_c,ggptrc_c;h_c;adp_c;pi_c
434,b3432,P07762,GLBRAN2,,,,glycogen_c,bglycogen_c
435,b0459,P77791,GLCATr;MALTATr,1ocx,2.160.10.10.4.2.2.1.1.182;2.160.10.10.4.2.2.1.2.182;2.160.10.10.4.2.2.1.3.182,1ocxA00;1ocxB00;1ocxC00,coa_c;malt_c;glc__D_c;acmalt_c;accoa_c;acglc__D_c,coa_c;malt_c;glc__D_c;acmalt_c;accoa_c;acglc__D_c
436,b0124,P15877,GLCDpp,,,,q8_c;glc__D_p;h2o_p,h_p;glcn_p;q8h2_c
437,b0837,P75804,GLCDpp,2g8s,2.120.10.30.11.1.1.1.1.341;2.120.10.30.11.1.1.2.1.342,2g8sB00;2g8sA00,q8_c;glc__D_p;h2o_p,h_p;glcn_p;q8h2_c
438,b3428,P0AC86,GLCP;GLCP2,,,,glycogen_c;pi_c;bglycogen_c,g1p_c
439,b3417,P00490,GLCP;GLCP2;MLTP1;MLTP2;MLTP3,1l5w,3.40.50.2000.5.3.1.1.1.329;3.40.50.2000.5.3.1.1.2.329;3.40.50.2000.95.3.1.1.1.467;3.40.50.2000.95.3.1.1.2.467,1l5wA02;1l5wB02;1l5wA01;1l5wB01,glycogen_c;bglycogen_c;g1p_c;pi_c;malthp_c;malthx_c;maltttr_c;maltpt_c,g1p_c;pi_c;malthp_c;malthx_c;maltttr_c;maltpt_c
440,b3126,P23522,GLCRAL,1dxe,3.20.20.60.1.3.1.1.1.253;3.20.20.60.1.3.1.1.2.253,1dxeA00;1dxeB00,5dh4dglc_c,2h3oppan_c;pyr_c
441,b2788,Q46915,GLCRD,4il0,3.20.20.120.19.2.3.1.3.247;3.20.20.120.19.2.3.1.4.261;3.20.20.120.19.2.3.1.5.261;3.20.20.120.19.2.3.1.6.261;3.20.20.120.19.2.3.1.7.261;3.20.20.120.19.2.3.1.8.261;3.20.20.120.19.2.3.1.9.261;3.20.20.120.19.2.3.1.10.261;3.30.390.10.21.2.2.1.3.130;3.30.390.10.21.2.2.1.4.133;3.30.390.10.21.2.2.1.5.127;3.30.390.10.21.2.2.1.6.148;3.30.390.10.21.2.2.1.7.149;3.30.390.10.21.2.2.1.8.149;3.30.390.10.21.2.2.1.9.149;3.30.390.10.21.2.2.1.10.149,4il0H02;4il0A02;4il0B02;4il0C02;4il0D02;4il0E02;4il0F02;4il0G02;4il0E01;4il0D01;4il0G01;4il0F01;4il0A01;4il0B01;4il0C01;4il0H01,glcr_c,h2o_c;5dh4dglc_c
442,b2787,P0AES2,GLCRD,1ec7,3.20.20.120.19.1.4.1.1.261;3.20.20.120.19.1.4.1.2.261;3.20.20.120.19.1.4.1.3.261;3.20.20.120.19.1.4.1.4.261;3.30.390.10.21.4.1.1.1.136;3.30.390.10.21.4.1.1.2.137;3.30.390.10.21.4.1.1.3.138;3.30.390.10.21.4.1.1.4.148,1ec7A02;1ec7B02;1ec7C02;1ec7D02;1ec7C01;1ec7A01;1ec7D01;1ec7B01,glcr_c,h2o_c;5dh4dglc_c
443,b3429,P0A6U8,GLCS1,2qzs,3.40.50.2000.13.1.1.1.1.267;3.40.50.2000.54.1.1.1.1.210,2qzsA01;2qzsA02,adpglc_c,glycogen_c;h_c;adp_c
444,b3631,P25740,GLCTR1,2iw1,3.40.50.2000.24.1.1.1.1.186;3.40.50.2000.26.1.1.1.1.184,2iw1A02;2iw1A01,udpg_c;icolipa_c,h_c;gicolipa_c;udp_c
445,b3627,P27128,GLCTR2,,,,udpg_c;gagicolipa_c,ggagicolipa_c;udp_c;h_c
446,b3626,P27129,GLCTR3,,,,udpg_c;ggagicolipa_c,gggagicolipa_c;h_c;udp_c
447,b3431,P15067,GLDBRAN2,2wsk,2.60.40.10.641.1.1.1.1.130;2.60.40.1180.74.1.1.1.1.85;3.20.20.80.194.1.1.1.1.439,2wskA01;2wskA03;2wskA02,bglycogen_c,glycogen_c
448,b3430,P0A6V1,GLGC,5l6v,2.160.10.10.30.2.1.1.1.131;2.160.10.10.30.2.1.1.2.131;2.160.10.10.30.2.1.1.3.131;2.160.10.10.30.2.1.1.4.130;2.160.10.10.30.2.1.1.5.130;2.160.10.10.30.2.1.1.6.130;2.160.10.10.30.2.1.1.7.130;2.160.10.10.30.2.1.1.8.129;2.160.10.10.30.2.1.1.9.129;3.90.550.10.23.3.1.1.1.270;3.90.550.10.23.3.1.1.2.280;3.90.550.10.23.3.1.1.3.280;3.90.550.10.23.3.1.1.4.284;3.90.550.10.23.3.1.1.5.287;3.90.550.10.23.3.1.1.6.291;3.90.550.10.23.3.1.1.7.292;3.90.550.10.23.3.1.1.8.292;3.90.550.10.23.3.1.1.9.293,5l6vE02;5l6vF02;5l6vM02;5l6vA02;5l6vC02;5l6vI02;5l6vP02;5l6vB02;5l6vH02;5l6vI01;5l6vE01;5l6vF01;5l6vM01;5l6vH01;5l6vC01;5l6vA01;5l6vB01;5l6vP01,atp_c;h_c;g1p_c,ppi_c;adpglc_c
449,b3870,P0A9C5,GLNS,,,,glu__L_c;atp_c;nh4_c,h_c;adp_c;pi_c;gln__L_c
